,arrival_date,adr,bookings,revenue
0,2015-07-01,3356.83,38.0,3356.83
1,2015-07-02,3512.12,36.0,3619.12
2,2015-07-03,2937.12,28.0,3090.12
3,2015-07-04,3415.44,38.0,3578.44
4,2015-07-05,3994.7599999999998,40.0,4486.96
5,2015-07-06,4273.2,43.0,4835.2
6,2015-07-07,3017.83,30.0,3525.33
7,2015-07-08,2203.71,21.0,2203.71
8,2015-07-09,2837.81,30.0,3106.81
9,2015-07-10,4818.99,44.0,5251.44
10,2015-07-11,3892.64,31.0,4106.39
11,2015-07-12,4513.38,41.0,5185.43
12,2015-07-13,4705.29,40.0,5087.29
13,2015-07-14,2932.08,25.0,3162.75
14,2015-07-15,3953.27,32.0,4359.73
15,2015-07-16,5233.21,42.0,5600.21
16,2015-07-17,6819.43,53.0,7209.43
17,2015-07-18,4958.17,35.0,5207.17
18,2015-07-19,4406.07,37.0,4537.44
19,2015-07-20,6644.71,53.0,6980.51
20,2015-07-21,3450.02,29.0,3781.02
21,2015-07-22,2739.84,19.0,2739.84
22,2015-07-23,3879.23,29.0,4131.23
23,2015-07-24,6772.97,45.0,6922.97
24,2015-07-25,5456.46,43.0,6221.92
25,2015-07-26,4179.68,32.0,4566.68
26,2015-07-27,6484.58,47.0,6484.58
27,2015-07-28,2587.36,21.0,2786.16
28,2015-07-29,3151.11,25.0,3339.11
29,2015-07-30,5015.09,40.0,5905.87
30,2015-07-31,6341.27,50.0,7398.77
31,2015-08-01,7339.3099999999995,46.0,7754.64
32,2015-08-02,5576.53,37.0,5576.53
33,2015-08-03,7479.68,54.0,7979.68
34,2015-08-04,4512.46,31.0,4705.06
35,2015-08-05,2928.77,21.0,2928.77
36,2015-08-06,3052.86,20.0,3502.76
37,2015-08-07,4470.49,30.0,4470.49
38,2015-08-08,5716.56,35.0,6244.99
39,2015-08-09,7125.88,45.0,7464.98
40,2015-08-10,9229.92,59.0,9821.92
41,2015-08-11,3927.33,30.0,4244.74
42,2015-08-12,2729.95,17.0,2729.95
43,2015-08-13,5000.18,28.0,5000.18
44,2015-08-14,5177.86,33.0,5621.86
45,2015-08-15,7431.82,48.0,7910.03
46,2015-08-16,8142.65,52.0,8627.65
47,2015-08-17,7083.31,49.0,7974.46
48,2015-08-18,3785.83,29.0,4902.99
49,2015-08-19,3080.85,22.0,3509.99
50,2015-08-20,3928.26,31.0,4091.49
51,2015-08-21,5041.36,29.0,5252.36
52,2015-08-22,7062.49,46.0,7696.59
53,2015-08-23,6044.17,43.0,7230.46
54,2015-08-24,5720.7300000000005,37.0,6142.61
55,2015-08-25,3141.54,22.0,3348.14
56,2015-08-26,2700.46,23.0,2893.46
57,2015-08-27,2997.55,26.0,3262.05
58,2015-08-28,5584.89,42.0,5918.89
59,2015-08-29,5820.04,46.0,6039.29
60,2015-08-30,4737.96,38.0,4737.96
61,2015-08-31,3255.65,30.0,3667.65
62,2015-09-01,5002.22,46.0,5307.22
63,2015-09-02,3290.38,35.0,3650.38
64,2015-09-03,4625.51,45.0,4625.51
65,2015-09-04,3979.2,36.0,4132.2
66,2015-09-05,3010.95,26.0,3189.45
67,2015-09-06,4895.27,45.0,5034.45
68,2015-09-07,4350.71,39.0,4521.96
69,2015-09-08,1865.2,20.0,2002.2
70,2015-09-09,2751.59,26.0,2751.59
71,2015-09-10,2797.71,34.0,2797.71
72,2015-09-11,3485.73,32.0,3616.73
73,2015-09-12,2800.14,48.0,2800.14
74,2015-09-13,2027.78,23.0,2027.78
75,2015-09-14,3814.25,43.0,3974.25
76,2015-09-15,1379.97,19.0,1518.97
77,2015-09-16,4048.2,50.0,4177.2
78,2015-09-17,4121.52,58.0,4527.27
79,2015-09-18,2140.97,23.0,2140.97
80,2015-09-19,4391.6,52.0,4391.6
81,2015-09-20,1635.72,21.0,1635.72
82,2015-09-21,4557.53,55.0,4692.53
83,2015-09-22,1353.37,14.0,1353.37
84,2015-09-23,2886.01,36.0,3036.01
85,2015-09-24,1794.14,31.0,1794.14
86,2015-09-25,2696.24,31.0,2869.24
87,2015-09-26,2648.98,34.0,2648.98
88,2015-09-27,1905.88,26.0,1905.88
89,2015-09-28,2260.3,34.0,2260.3
90,2015-09-29,1944.28,28.0,1944.28
91,2015-09-30,2865.45,43.0,2865.45
92,2015-10-01,2744.57,40.0,2860.57
93,2015-10-02,1703.4,30.0,1924.4
94,2015-10-03,2452.67,35.0,2452.67
95,2015-10-04,1972.82,32.0,1972.82
96,2015-10-05,2022.97,30.0,2022.97
97,2015-10-06,2581.75,42.0,2799.59
98,2015-10-07,1467.62,28.0,1467.62
99,2015-10-08,2332.01,41.0,2332.01
100,2015-10-09,2301.58,37.0,2410.33
101,2015-10-10,3663.82,53.0,3892.32
102,2015-10-11,2283.2599999999998,38.0,2389.2599999999998
103,2015-10-12,4058.2999999999997,71.0,4132.58
104,2015-10-13,1904.68,35.0,2012.1100000000001
105,2015-10-14,1934.51,40.0,1934.51
106,2015-10-15,4192.69,92.0,4192.69
107,2015-10-16,720.13,15.0,720.13
108,2015-10-17,565.72,9.0,661.72
109,2015-10-18,2533.06,45.0,2583.11
110,2015-10-19,4075.2999999999997,67.0,4075.2999999999997
111,2015-10-20,1553.18,27.0,1659.18
112,2015-10-21,3196.81,54.0,3196.81
113,2015-10-22,2311.42,41.0,2416.09
114,2015-10-23,2172.16,37.0,2172.16
115,2015-10-24,1736.1,30.0,2059.27
116,2015-10-25,740.25,15.0,740.25
117,2015-10-26,1041.3,24.0,1041.3
118,2015-10-27,1517.9,31.0,1517.9
119,2015-10-28,1114.67,22.0,1114.67
120,2015-10-29,1207.75,28.0,1207.75
121,2015-10-30,1837.49,38.0,1837.49
122,2015-10-31,2116.41,50.0,2230.41
123,2015-11-01,1099.15,22.0,1099.15
124,2015-11-02,1457.02,33.0,1457.02
125,2015-11-03,1950.37,48.0,1991.77
126,2015-11-04,598.65,15.0,598.65
127,2015-11-05,1021.62,20.0,1021.62
128,2015-11-06,1499.09,30.0,1499.09
129,2015-11-07,2794.88,56.0,2794.88
130,2015-11-08,1403.98,27.0,1403.98
131,2015-11-09,1134.11,24.0,1242.11
132,2015-11-10,1053.64,18.0,1053.64
133,2015-11-11,1211.3600000000001,23.0,1211.3600000000001
134,2015-11-12,1481.32,30.0,1585.32
135,2015-11-13,801.2,14.0,930.2
136,2015-11-14,528.78,9.0,626.78
137,2015-11-15,552.44,12.0,552.44
138,2015-11-16,1712.72,47.0,1712.72
139,2015-11-17,1517.44,36.0,1517.44
140,2015-11-18,3435.93,65.0,3435.93
141,2015-11-19,1131.01,25.0,1229.01
142,2015-11-20,2602.06,47.0,2602.06
143,2015-11-21,2744.45,71.0,2912.45
144,2015-11-22,601.03,13.0,601.03
145,2015-11-23,952.02,26.0,952.02
146,2015-11-24,1503.17,37.0,1503.17
147,2015-11-25,1033.22,29.0,1033.22
148,2015-11-26,1046.55,27.0,1046.55
149,2015-11-27,2046.1,50.0,2242.1
150,2015-11-28,1728.59,38.0,1919.59
151,2015-11-29,173.25,4.0,173.25
152,2015-11-30,1433.2,36.0,1433.2
153,2015-12-01,1101.56,29.0,1101.56
154,2015-12-02,1349.06,35.0,1447.06
155,2015-12-03,1484.11,35.0,1484.11
156,2015-12-04,1021.41,23.0,1021.41
157,2015-12-05,7106.29,122.0,7657.7
158,2015-12-06,1297.07,22.0,1297.07
159,2015-12-07,812.66,17.0,812.66
160,2015-12-08,433.55,12.0,433.55
161,2015-12-09,1257.8,33.0,1257.8
162,2015-12-10,664.08,22.0,664.08
163,2015-12-11,507.35,14.0,507.35
164,2015-12-12,1592.0,30.0,1746.0
165,2015-12-13,350.83,9.0,350.83
166,2015-12-14,817.26,24.0,817.26
167,2015-12-15,634.81,16.0,634.81
168,2015-12-16,858.4399999999999,22.0,858.4399999999999
169,2015-12-17,846.9,21.0,846.9
170,2015-12-18,555.71,14.0,555.71
171,2015-12-19,1562.05,30.0,1657.05
172,2015-12-20,728.62,15.0,728.62
173,2015-12-21,1183.78,24.0,1183.78
174,2015-12-22,2382.43,46.0,2382.43
175,2015-12-23,2234.46,35.0,2341.96
