,arrival_date,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,lag_31,lag_32,lag_33,lag_34,lag_35,lag_36,lag_37,lag_38,lag_39,lag_40,lag_41,lag_42,lag_43,lag_44,lag_45,lag_46,lag_47,lag_48,lag_49,lag_50,lag_51,lag_52,lag_53,lag_54,lag_55,lag_56,lag_57,lag_58,lag_59,lag_60
0,2015-08-30,4737.96,6039.29,5918.89,3262.05,2893.46,3348.14,6142.61,7230.46,7696.59,5252.36,4091.49,3509.99,4902.99,7974.46,8627.65,7910.03,5621.86,5000.18,2729.95,4244.74,9821.92,7464.98,6244.99,4470.49,3502.76,2928.77,4705.06,7979.68,5576.53,7754.64,7398.77,5905.87,3339.11,2786.16,6484.58,4566.68,6221.92,6922.97,4131.23,2739.84,3781.02,6980.51,4537.44,5207.17,7209.43,5600.21,4359.73,3162.75,5087.29,5185.43,4106.39,5251.44,3106.81,2203.71,3525.33,4835.2,4486.96,3578.44,3090.12,3619.12,3356.83
1,2015-08-31,3667.65,4737.96,6039.29,5918.89,3262.05,2893.46,3348.14,6142.61,7230.46,7696.59,5252.36,4091.49,3509.99,4902.99,7974.46,8627.65,7910.03,5621.86,5000.18,2729.95,4244.74,9821.92,7464.98,6244.99,4470.49,3502.76,2928.77,4705.06,7979.68,5576.53,7754.64,7398.77,5905.87,3339.11,2786.16,6484.58,4566.68,6221.92,6922.97,4131.23,2739.84,3781.02,6980.51,4537.44,5207.17,7209.43,5600.21,4359.73,3162.75,5087.29,5185.43,4106.39,5251.44,3106.81,2203.71,3525.33,4835.2,4486.96,3578.44,3090.12,3619.12
2,2015-09-01,5307.22,3667.65,4737.96,6039.29,5918.89,3262.05,2893.46,3348.14,6142.61,7230.46,7696.59,5252.36,4091.49,3509.99,4902.99,7974.46,8627.65,7910.03,5621.86,5000.18,2729.95,4244.74,9821.92,7464.98,6244.99,4470.49,3502.76,2928.77,4705.06,7979.68,5576.53,7754.64,7398.77,5905.87,3339.11,2786.16,6484.58,4566.68,6221.92,6922.97,4131.23,2739.84,3781.02,6980.51,4537.44,5207.17,7209.43,5600.21,4359.73,3162.75,5087.29,5185.43,4106.39,5251.44,3106.81,2203.71,3525.33,4835.2,4486.96,3578.44,3090.12
3,2015-09-02,3650.38,5307.22,3667.65,4737.96,6039.29,5918.89,3262.05,2893.46,3348.14,6142.61,7230.46,7696.59,5252.36,4091.49,3509.99,4902.99,7974.46,8627.65,7910.03,5621.86,5000.18,2729.95,4244.74,9821.92,7464.98,6244.99,4470.49,3502.76,2928.77,4705.06,7979.68,5576.53,7754.64,7398.77,5905.87,3339.11,2786.16,6484.58,4566.68,6221.92,6922.97,4131.23,2739.84,3781.02,6980.51,4537.44,5207.17,7209.43,5600.21,4359.73,3162.75,5087.29,5185.43,4106.39,5251.44,3106.81,2203.71,3525.33,4835.2,4486.96,3578.44
4,2015-09-03,4625.51,3650.38,5307.22,3667.65,4737.96,6039.29,5918.89,3262.05,2893.46,3348.14,6142.61,7230.46,7696.59,5252.36,4091.49,3509.99,4902.99,7974.46,8627.65,7910.03,5621.86,5000.18,2729.95,4244.74,9821.92,7464.98,6244.99,4470.49,3502.76,2928.77,4705.06,7979.68,5576.53,7754.64,7398.77,5905.87,3339.11,2786.16,6484.58,4566.68,6221.92,6922.97,4131.23,2739.84,3781.02,6980.51,4537.44,5207.17,7209.43,5600.21,4359.73,3162.75,5087.29,5185.43,4106.39,5251.44,3106.81,2203.71,3525.33,4835.2,4486.96
5,2015-09-04,4132.2,4625.51,3650.38,5307.22,3667.65,4737.96,6039.29,5918.89,3262.05,2893.46,3348.14,6142.61,7230.46,7696.59,5252.36,4091.49,3509.99,4902.99,7974.46,8627.65,7910.03,5621.86,5000.18,2729.95,4244.74,9821.92,7464.98,6244.99,4470.49,3502.76,2928.77,4705.06,7979.68,5576.53,7754.64,7398.77,5905.87,3339.11,2786.16,6484.58,4566.68,6221.92,6922.97,4131.23,2739.84,3781.02,6980.51,4537.44,5207.17,7209.43,5600.21,4359.73,3162.75,5087.29,5185.43,4106.39,5251.44,3106.81,2203.71,3525.33,4835.2
6,2015-09-05,3189.45,4132.2,4625.51,3650.38,5307.22,3667.65,4737.96,6039.29,5918.89,3262.05,2893.46,3348.14,6142.61,7230.46,7696.59,5252.36,4091.49,3509.99,4902.99,7974.46,8627.65,7910.03,5621.86,5000.18,2729.95,4244.74,9821.92,7464.98,6244.99,4470.49,3502.76,2928.77,4705.06,7979.68,5576.53,7754.64,7398.77,5905.87,3339.11,2786.16,6484.58,4566.68,6221.92,6922.97,4131.23,2739.84,3781.02,6980.51,4537.44,5207.17,7209.43,5600.21,4359.73,3162.75,5087.29,5185.43,4106.39,5251.44,3106.81,2203.71,3525.33
7,2015-09-06,5034.45,3189.45,4132.2,4625.51,3650.38,5307.22,3667.65,4737.96,6039.29,5918.89,3262.05,2893.46,3348.14,6142.61,7230.46,7696.59,5252.36,4091.49,3509.99,4902.99,7974.46,8627.65,7910.03,5621.86,5000.18,2729.95,4244.74,9821.92,7464.98,6244.99,4470.49,3502.76,2928.77,4705.06,7979.68,5576.53,7754.64,7398.77,5905.87,3339.11,2786.16,6484.58,4566.68,6221.92,6922.97,4131.23,2739.84,3781.02,6980.51,4537.44,5207.17,7209.43,5600.21,4359.73,3162.75,5087.29,5185.43,4106.39,5251.44,3106.81,2203.71
8,2015-09-07,4521.96,5034.45,3189.45,4132.2,4625.51,3650.38,5307.22,3667.65,4737.96,6039.29,5918.89,3262.05,2893.46,3348.14,6142.61,7230.46,7696.59,5252.36,4091.49,3509.99,4902.99,7974.46,8627.65,7910.03,5621.86,5000.18,2729.95,4244.74,9821.92,7464.98,6244.99,4470.49,3502.76,2928.77,4705.06,7979.68,5576.53,7754.64,7398.77,5905.87,3339.11,2786.16,6484.58,4566.68,6221.92,6922.97,4131.23,2739.84,3781.02,6980.51,4537.44,5207.17,7209.43,5600.21,4359.73,3162.75,5087.29,5185.43,4106.39,5251.44,3106.81
9,2015-09-08,2002.2,4521.96,5034.45,3189.45,4132.2,4625.51,3650.38,5307.22,3667.65,4737.96,6039.29,5918.89,3262.05,2893.46,3348.14,6142.61,7230.46,7696.59,5252.36,4091.49,3509.99,4902.99,7974.46,8627.65,7910.03,5621.86,5000.18,2729.95,4244.74,9821.92,7464.98,6244.99,4470.49,3502.76,2928.77,4705.06,7979.68,5576.53,7754.64,7398.77,5905.87,3339.11,2786.16,6484.58,4566.68,6221.92,6922.97,4131.23,2739.84,3781.02,6980.51,4537.44,5207.17,7209.43,5600.21,4359.73,3162.75,5087.29,5185.43,4106.39,5251.44
