,arrival_date,RV0,RV1,RV2,RV3,RV4,RV5,RV6,RV7,RV8,RV9,RV10,RV11,RV12,RV13,RV14,RV15,RV16,RV17,RV18,RV19,RV20,RV21,RV22,RV23,RV24,RV25,RV26,RV27,RV28,RV29,RV30,RV31,RV32,RV33,RV34,RV35,RV36,RV37,RV38,RV39,RV40,RV41,RV42,RV43,RV44,RV45,RV46,RV47,RV48,RV49,RV50,RV51,RV52,RV53,RV54,RV55,RV56,RV57,RV58,RV59,RV60,RV61,RV62,RV63,RV64,RV65,RV66,RV67,RV68,RV69,RV70,RV71,RV72,RV73,RV74,RV75,RV76,RV77,RV78,RV79,RV80,RV81,RV82,RV83,RV84,RV85,RV86,RV87,RV88,RV89,RV90,RV91,RV92,RV93,RV94,RV95,RV96,RV97,RV98,RV99,RV100
0,2015-07-01,3356.83,3142.41,3008.41,3004.41,3004.41,2870.41,2870.41,2870.41,2642.41,2642.41,2539.41,2539.41,2539.41,2451.21,2376.21,2180.21,2180.21,2180.21,2180.21,2025.4399999999998,2025.4399999999998,2025.4399999999998,2025.4399999999998,2025.4399999999998,2025.4399999999998,2025.4399999999998,2025.4399999999998,2025.4399999999998,2025.4399999999998,2025.4399999999998,2025.4399999999998,2025.4399999999998,2025.4399999999998,2025.4399999999998,2025.4399999999998,2025.4399999999998,1880.4399999999998,1880.4399999999998,1590.9399999999998,1590.9399999999998,1590.9399999999998,1590.9399999999998,1590.9399999999998,1590.9399999999998,1590.9399999999998,1590.9399999999998,1590.9399999999998,1590.9399999999998,1590.9399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1317.4399999999998,1317.4399999999998,1317.4399999999998,1317.4399999999998,1048.4299999999998,1048.4299999999998,1048.4299999999998,1048.4299999999998,1048.4299999999998,954.43,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,826.9699999999999,826.9699999999999,826.9699999999999,826.9699999999999,739.67
1,2015-07-02,3619.12,3231.22,2870.22,2870.22,2782.02,2782.02,2647.02,2647.02,2647.02,2647.02,2647.02,2529.21,2529.21,2529.21,2529.21,2431.21,2333.21,2210.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,1968.41,1968.41,1968.41,1968.41,1968.41,1968.41,1968.41,1968.41,1968.41,1888.91,1888.91,1888.91,1888.91,1888.91,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1704.0600000000002,1430.0600000000002,1430.0600000000002,1430.0600000000002,1430.0600000000002,1430.0600000000002,1430.0600000000002,1319.3600000000001,1319.3600000000001,1319.3600000000001,1319.3600000000001,1319.3600000000001,1319.3600000000001,1319.3600000000001,1319.3600000000001,1119.8600000000001,1119.8600000000001,1119.8600000000001,1119.8600000000001,1119.8600000000001,1119.8600000000001,1037.5100000000002,1037.5100000000002,1037.5100000000002,922.5500000000002,922.5500000000002,922.5500000000002,863.6000000000001,863.6000000000001,863.6000000000001,863.6000000000001
2,2015-07-03,3090.1200000000003,3090.1200000000003,2959.1200000000003,2745.6200000000003,2544.2200000000003,2544.2200000000003,2544.2200000000003,2544.2200000000003,2544.2200000000003,2544.2200000000003,2351.51,2045.51,2045.51,1971.71,1971.71,1971.71,1857.21,1857.21,1857.21,1857.21,1857.21,1857.21,1734.21,1734.21,1734.21,1734.21,1734.21,1734.21,1734.21,1734.21,1734.21,1734.21,1734.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1508.21,1508.21,1508.21,1508.21,1508.21,1508.21,1508.21,1508.21,1508.21,1508.21,1508.21,1508.21,1311.67,1311.67,1311.67,1311.67,1311.67,1311.67,1219.22,1219.22,1219.22,1108.52,1108.52,1108.52,1108.52,1108.52,1108.52,1108.52,1108.52,1108.52,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,852.56
3,2015-07-04,3578.44,3447.04,3332.54,3006.54,3006.54,2913.87,2913.87,2913.87,2913.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2674.37,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2527.63,2527.63,2527.63,2527.63,2527.63,2527.63,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2276.13,2127.13,2127.13,2127.13,2127.13,2127.13,2127.13,2127.13,2030.1299999999999,2030.1299999999999,2030.1299999999999,2030.1299999999999,2030.1299999999999,2030.1299999999999,1790.54,1790.54,1790.54,1704.74,1704.74,1704.74,1633.19,1633.19
4,2015-07-05,4486.96,4095.8599999999997,4095.8599999999997,3750.7599999999998,3750.7599999999998,3750.7599999999998,3750.7599999999998,3750.7599999999998,3750.7599999999998,3400.7599999999998,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3024.16,3024.16,2926.87,2803.87,2803.87,2803.87,2803.87,2803.87,2803.87,2803.87,2803.87,2803.87,2640.87,2640.87,2640.87,2640.87,2640.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2308.87,2308.87,2308.87,2308.87,2308.87,2308.87,2308.87,2308.87,2308.87,2308.87,2308.87,2308.87,2308.87,2308.87,2308.87,2174.77,2077.77,2077.77,2014.17,2014.17,2014.17,2014.17,2014.17,2014.17,2014.17,2014.17,1932.17,1932.17,1932.17,1843.77,1719.32,1719.32,1645.25,1229.55,1229.55,1229.55
5,2015-07-06,4835.2,4835.2,4835.2,4704.2,4704.2,4704.2,4704.2,4704.2,4606.2,4606.2,4606.2,4606.2,4606.2,4606.2,4606.2,4547.25,4547.25,4547.25,4547.25,4547.25,4547.25,4547.25,4547.25,4547.25,4547.25,4547.25,4547.25,4547.25,4547.25,4424.25,4424.25,4269.25,4269.25,4269.25,4112.15,3937.1499999999996,3937.1499999999996,3937.1499999999996,3937.1499999999996,3937.1499999999996,3937.1499999999996,3937.1499999999996,3937.1499999999996,3937.1499999999996,3937.1499999999996,3937.1499999999996,3937.1499999999996,3937.1499999999996,3937.1499999999996,3937.1499999999996,3937.1499999999996,3937.1499999999996,3701.5299999999997,3701.5299999999997,3701.5299999999997,3701.5299999999997,3701.5299999999997,3701.5299999999997,3701.5299999999997,3701.5299999999997,3701.5299999999997,3701.5299999999997,3701.5299999999997,3701.5299999999997,3701.5299999999997,3701.5299999999997,3618.0299999999997,3526.5299999999997,3526.5299999999997,3156.5299999999997,3156.5299999999997,3156.5299999999997,3156.5299999999997,3156.5299999999997,3156.5299999999997,3156.5299999999997,3156.5299999999997,3156.5299999999997,3156.5299999999997,3156.5299999999997,3156.5299999999997,3083.5299999999997,2663.5299999999997,2663.5299999999997,2663.5299999999997,2566.5299999999997,2566.5299999999997,2566.5299999999997,2566.5299999999997,2566.5299999999997,2566.5299999999997,2455.83,2455.83,2455.83,2455.83,2284.5099999999998,2187.5099999999998,2187.5099999999998,2096.14,1891.04,1891.04
6,2015-07-07,3525.33,3012.73,3012.73,3012.73,3012.73,3012.73,3012.73,3012.73,3012.73,2626.73,2626.73,2626.73,2626.73,2626.73,2626.73,2626.73,2626.73,2626.73,2626.73,2626.73,2626.73,2626.73,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2334.13,2334.13,2334.13,2334.13,2334.13,2334.13,2334.13,2334.13,2334.13,2334.13,2334.13,2334.13,2334.13,2334.13,2334.13,2254.63,2172.63,2172.63,2172.63,2172.63,2172.63,2172.63,2172.63,2172.63,2172.63,2172.63,2172.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,1925.63,1925.63,1925.63,1925.63,1925.63,1925.63,1925.63,1925.63,1925.63,1925.63,1925.63,1925.63
7,2015-07-08,2203.71,2142.71,1906.99,1906.99,1906.99,1906.99,1760.99,1760.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1367.99,1367.99,1367.99,1367.99,1367.99,1367.99,1367.99,1367.99,1367.99,1367.99,1367.99,1367.99,1367.99,1367.99,1255.99,1145.29,1145.29,1145.29,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,954.5,954.5,954.5,954.5
8,2015-07-09,3106.81,3024.81,3024.81,2890.81,2890.81,2890.81,2890.81,2890.81,2890.81,2890.81,2890.81,2890.81,2890.81,2598.81,2598.81,2523.35,2523.35,2425.35,2179.35,2179.35,2179.35,2099.35,2099.35,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1660.01,1660.01,1660.01,1660.01,1660.01,1660.01,1660.01,1660.01,1660.01,1594.51,1512.51,1512.51,1512.51,1512.51,1512.51,1512.51,1512.51,1512.51,1512.51,1512.51,1512.51,1512.51,1208.71,1208.71,1208.71,1208.71,1208.71,1208.71,1208.71,1208.71,1208.71,1208.71
9,2015-07-10,5251.44,5251.44,5251.44,5251.44,5120.44,5120.44,5120.44,5120.44,5120.44,5120.44,5120.44,4989.44,4559.44,4559.44,4374.44,4374.44,4374.44,4374.44,4374.44,4374.44,4374.44,4374.44,4111.44,4023.24,3925.24,3925.24,3925.24,3925.24,3925.24,3925.24,3925.24,3531.24,3370.24,3264.3399999999997,3264.3399999999997,2934.7,2635.8999999999996,2635.8999999999996,2515.8999999999996,2515.8999999999996,2515.8999999999996,2515.8999999999996,2405.2999999999997,2405.2999999999997,2405.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,2253.2999999999997,1867.5999999999997,1785.5999999999997,1785.5999999999997,1785.5999999999997,1785.5999999999997,1785.5999999999997,1785.5999999999997,1785.5999999999997,1673.3999999999996,1539.5699999999997,1539.5699999999997,1539.5699999999997,1539.5699999999997,1284.9699999999998,1284.9699999999998,1284.9699999999998,1284.9699999999998,1284.9699999999998,1284.9699999999998,1284.9699999999998,1284.9699999999998,1284.9699999999998
