,arrival_date,RV0,RV1,RV2,RV3,RV4,RV5,RV6,RV7,RV8,RV9,RV10,RV11,RV12,RV13,RV14,RV15,RV16,RV17,RV18,RV19,RV20,RV21,RV22,RV23,RV24,RV25,RV26,RV27,RV28,RV29,RV30,RV31,RV32,RV33,RV34,RV35,RV36,RV37,RV38,RV39,RV40,RV41,RV42,RV43,RV44,RV45,RV46,RV47,RV48,RV49,RV50,RV51,RV52,RV53,RV54,RV55,RV56,RV57,RV58,RV59,RV60,RV61,RV62,RV63,RV64,RV65,RV66,RV67,RV68,RV69,RV70,RV71,RV72,RV73,RV74,RV75,RV76,RV77,RV78,RV79,RV80,RV81,RV82,RV83,RV84,RV85,RV86,RV87,RV88,RV89,RV90,RV91,RV92,RV93,RV94,RV95,RV96,RV97,RV98,RV99,RV100,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10
0,2015-07-01,3356.83,3142.41,3008.41,3004.41,3004.41,2870.41,2870.41,2870.41,2642.41,2642.41,2539.41,2539.41,2539.41,2451.21,2376.21,2180.21,2180.21,2180.21,2180.21,2025.44,2025.44,2025.44,2025.44,2025.44,2025.44,2025.44,2025.44,2025.44,2025.44,2025.44,2025.44,2025.44,2025.44,2025.44,2025.44,2025.44,1880.44,1880.44,1590.9399999999998,1590.9399999999998,1590.9399999999998,1590.9399999999998,1590.9399999999998,1590.9399999999998,1590.9399999999998,1590.9399999999998,1590.9399999999998,1590.9399999999998,1590.9399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1511.4399999999998,1317.4399999999998,1317.4399999999998,1317.4399999999998,1317.4399999999998,1048.4299999999998,1048.4299999999998,1048.4299999999998,1048.4299999999998,1048.4299999999998,954.43,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,890.8299999999999,826.9699999999999,826.9699999999999,826.9699999999999,826.9699999999999,739.67,2202.9253,1872.0007,3087.5586,2772.3074,2568.8752,3018.6477,980.1339,0.0,3339.8264,2886.223,0.0
1,2015-07-02,3619.12,3231.22,2870.22,2870.22,2782.02,2782.02,2647.02,2647.02,2647.02,2647.02,2647.02,2529.21,2529.21,2529.21,2529.21,2431.21,2333.21,2210.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,2077.21,1968.41,1968.41,1968.41,1968.41,1968.41,1968.41,1968.41,1968.41,1968.41,1888.91,1888.91,1888.91,1888.91,1888.91,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1769.5600000000002,1704.0600000000002,1430.0600000000002,1430.0600000000002,1430.0600000000002,1430.0600000000002,1430.0600000000002,1430.0600000000002,1319.36,1319.36,1319.36,1319.36,1319.36,1319.36,1319.36,1319.36,1119.86,1119.86,1119.86,1119.86,1119.86,1119.86,1037.5100000000002,1037.5100000000002,1037.5100000000002,922.5500000000002,922.5500000000002,922.5500000000002,863.6000000000001,863.6000000000001,863.6000000000001,863.6000000000001,2638.4475,2397.9175,3132.7034,3378.812,2694.438,3331.815,1109.828,0.0,3710.4294,3227.4016,0.0
2,2015-07-03,3090.1200000000003,3090.1200000000003,2959.1200000000003,2745.6200000000003,2544.2200000000003,2544.2200000000003,2544.2200000000003,2544.2200000000003,2544.2200000000003,2544.2200000000003,2351.51,2045.51,2045.51,1971.71,1971.71,1971.71,1857.21,1857.21,1857.21,1857.21,1857.21,1857.21,1734.21,1734.21,1734.21,1734.21,1734.21,1734.21,1734.21,1734.21,1734.21,1734.21,1734.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1605.21,1508.21,1508.21,1508.21,1508.21,1508.21,1508.21,1508.21,1508.21,1508.21,1508.21,1508.21,1508.21,1311.67,1311.67,1311.67,1311.67,1311.67,1311.67,1219.22,1219.22,1219.22,1108.52,1108.52,1108.52,1108.52,1108.52,1108.52,1108.52,1108.52,1108.52,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,1022.66,852.56,2332.732,2038.5055,2538.222,2648.0618,2337.5366,2724.3545,986.24084,0.0,2793.3977,2859.6514,0.0
3,2015-07-04,3578.44,3447.04,3332.54,3006.54,3006.54,2913.87,2913.87,2913.87,2913.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2790.87,2674.37,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2594.87,2527.63,2527.63,2527.63,2527.63,2527.63,2527.63,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2415.13,2276.13,2127.13,2127.13,2127.13,2127.13,2127.13,2127.13,2127.13,2030.13,2030.13,2030.13,2030.13,2030.13,2030.13,1790.54,1790.54,1790.54,1704.74,1704.74,1704.74,1633.19,1633.19,4285.893,3881.742,3640.4463,4457.907,3710.0608,4386.9497,1715.9342,19.412186,4175.938,4988.9697,0.0
4,2015-07-05,4486.96,4095.86,4095.86,3750.76,3750.76,3750.76,3750.76,3750.76,3750.76,3400.76,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3122.56,3024.16,3024.16,2926.87,2803.87,2803.87,2803.87,2803.87,2803.87,2803.87,2803.87,2803.87,2803.87,2640.87,2640.87,2640.87,2640.87,2640.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2415.87,2308.87,2308.87,2308.87,2308.87,2308.87,2308.87,2308.87,2308.87,2308.87,2308.87,2308.87,2308.87,2308.87,2308.87,2308.87,2174.77,2077.77,2077.77,2014.17,2014.17,2014.17,2014.17,2014.17,2014.17,2014.17,2014.17,1932.17,1932.17,1932.17,1843.77,1719.32,1719.32,1645.25,1229.55,1229.55,1229.55,4114.438,3574.7034,4184.0044,4385.8164,4019.7996,4594.444,1752.8822,0.0,4452.4575,5033.0703,0.0
5,2015-07-06,4835.2,4835.2,4835.2,4704.2,4704.2,4704.2,4704.2,4704.2,4606.2,4606.2,4606.2,4606.2,4606.2,4606.2,4606.2,4547.25,4547.25,4547.25,4547.25,4547.25,4547.25,4547.25,4547.25,4547.25,4547.25,4547.25,4547.25,4547.25,4547.25,4424.25,4424.25,4269.25,4269.25,4269.25,4112.15,3937.15,3937.15,3937.15,3937.15,3937.15,3937.15,3937.15,3937.15,3937.15,3937.15,3937.15,3937.15,3937.15,3937.15,3937.15,3937.15,3937.15,3701.53,3701.53,3701.53,3701.53,3701.53,3701.53,3701.53,3701.53,3701.53,3701.53,3701.53,3701.53,3701.53,3701.53,3618.03,3526.53,3526.53,3156.53,3156.53,3156.53,3156.53,3156.53,3156.53,3156.53,3156.53,3156.53,3156.53,3156.53,3156.53,3083.53,2663.53,2663.53,2663.53,2566.53,2566.53,2566.53,2566.53,2566.53,2566.53,2455.83,2455.83,2455.83,2455.83,2284.51,2187.51,2187.51,2096.14,1891.04,1891.04,5801.011,5215.7925,6198.5312,6809.4688,5673.2397,6807.5376,2420.9888,0.0,7125.847,7025.727,0.0
6,2015-07-07,3525.33,3012.73,3012.73,3012.73,3012.73,3012.73,3012.73,3012.73,3012.73,2626.73,2626.73,2626.73,2626.73,2626.73,2626.73,2626.73,2626.73,2626.73,2626.73,2626.73,2626.73,2626.73,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2441.23,2334.13,2334.13,2334.13,2334.13,2334.13,2334.13,2334.13,2334.13,2334.13,2334.13,2334.13,2334.13,2334.13,2334.13,2334.13,2254.63,2172.63,2172.63,2172.63,2172.63,2172.63,2172.63,2172.63,2172.63,2172.63,2172.63,2172.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,2075.63,1925.63,1925.63,1925.63,1925.63,1925.63,1925.63,1925.63,1925.63,1925.63,1925.63,1925.63,1925.63,4106.908,3490.445,3558.3894,3720.1936,3780.1445,4084.6428,1727.2284,0.0,3430.0957,4974.112,104.69726
7,2015-07-08,2203.71,2142.71,1906.99,1906.99,1906.99,1906.99,1760.99,1760.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1629.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1474.99,1367.99,1367.99,1367.99,1367.99,1367.99,1367.99,1367.99,1367.99,1367.99,1367.99,1367.99,1367.99,1367.99,1367.99,1255.99,1145.29,1145.29,1145.29,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,954.5,954.5,954.5,954.5,2452.6646,2255.6074,2105.4106,2638.835,2125.5522,2557.499,982.5105,11.732626,2480.0,2848.7646,0.0
8,2015-07-09,3106.81,3024.81,3024.81,2890.81,2890.81,2890.81,2890.81,2890.81,2890.81,2890.81,2890.81,2890.81,2890.81,2598.81,2598.81,2523.35,2523.35,2425.35,2179.35,2179.35,2179.35,2099.35,2099.35,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1784.01,1660.01,1660.01,1660.01,1660.01,1660.01,1660.01,1660.01,1660.01,1660.01,1594.51,1512.51,1512.51,1512.51,1512.51,1512.51,1512.51,1512.51,1512.51,1512.51,1512.51,1512.51,1512.51,1208.71,1208.71,1208.71,1208.71,1208.71,1208.71,1208.71,1208.71,1208.71,1208.71,2997.9543,2798.4631,2341.0603,3184.1013,2438.0476,2979.5132,1164.2325,66.92629,2880.226,3396.058,0.0
9,2015-07-10,5251.44,5251.44,5251.44,5251.44,5120.44,5120.44,5120.44,5120.44,5120.44,5120.44,5120.44,4989.44,4559.44,4559.44,4374.44,4374.44,4374.44,4374.44,4374.44,4374.44,4374.44,4374.44,4111.44,4023.24,3925.24,3925.24,3925.24,3925.24,3925.24,3925.24,3925.24,3531.24,3370.24,3264.34,3264.34,2934.7,2635.9,2635.9,2515.9,2515.9,2515.9,2515.9,2405.3,2405.3,2405.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,1867.6,1785.5999999999997,1785.5999999999997,1785.5999999999997,1785.5999999999997,1785.5999999999997,1785.5999999999997,1785.5999999999997,1673.3999999999996,1539.5699999999997,1539.5699999999997,1539.5699999999997,1539.5699999999997,1284.9699999999998,1284.9699999999998,1284.9699999999998,1284.9699999999998,1284.9699999999998,1284.9699999999998,1284.9699999999998,1284.9699999999998,1284.9699999999998,3734.1958,2998.2969,5236.9385,4016.8171,4566.2896,4986.108,1707.4169,0.0,5016.884,5099.344,195.13435
